pub_date,headline,abstract,keywords,lead_paragraph,date_parsed
2024-12-19 10:03:55+00:00,"{'main': 'How to Make the Drone Panic So Very Much Worse', 'kicker': 'Zeynep Tufekci', 'content_kicker': None, 'print_headline': 'How Not to Handle a Huge Drone Panic', 'name': None, 'seo': None, 'sub': None}","Incidents like these require quick, clear communication from the government. That’s not what people are getting.","[{'name': 'subject', 'value': 'Drones (Pilotless Planes)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Classified Information and State Secrets', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Unidentified Flying Objects (UFO)', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'New Jersey', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Rumors and Misinformation', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Psychology and Psychologists', 'rank': 8, 'major': 'N'}]","In 1954, a few people in the town of Bellingham, Wash., reported seeing pits and dings on their windshields — perhaps the work of vandals. Roadblocks were quickly set up. This became front-page news in nearby Seattle, prompting people to rush to check their own windshields. Thousands then reported that they, too, had mysterious dings, in an ever-widening area from Seattle to Vancouver, British Columbia.",2024-12-19T10:03:55Z
2024-12-12 19:00:19+00:00,"{'main': 'Superflares Erupt From Stars Like Our Sun Once Every 100 Years', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",New findings suggest that an extraordinarily powerful and dangerous burst of radiation might flare from our sun in the future.,"[{'name': 'subject', 'value': 'Sun', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Stars and Galaxies', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Space and Astronomy', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Science (Journal)', 'rank': 5, 'major': 'N'}]","Our sun is a violent place. Bursts of radiation snap off the solar surface with the strength of millions of volcanic eruptions. Hot plasma churns and spews, streaming particles that can harm astronauts and satellites in space and damage electrical systems on the ground. They can also brighten up our skies with colorful lights.",2024-12-12T19:00:19Z
2024-12-06 07:41:26+00:00,"{'main': 'Fire at Baltimore Lumberyard Closes Highway and Schools', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","No one was injured or evacuated in the fire, which was made more challenging by the wind, the authorities said.","[{'name': 'subject', 'value': 'Fires and Firefighters', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Wildfires', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Wood and Wood Products', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Baltimore (Md)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Roads and Traffic', 'rank': 5, 'major': 'N'}]","A fire broke out at a city-run lumberyard in Baltimore on Thursday evening and raged into the night, prompting the cancellation of Friday classes at two schools, and the closure of a section of a highway and a portion of the light rail.",2024-12-06T07:41:26Z
2024-12-02 10:00:49+00:00,"{'main': 'What’s Next in U.S. Elections: Races to Watch in 2025', 'kicker': None, 'content_kicker': None, 'print_headline': 'Off-Year Elections in 2025: Few High-Profile Races, but a Lot Is at Stake', 'name': None, 'seo': None, 'sub': None}",Virginia and New Jersey feature contests for governor. Elections in Wisconsin and Pennsylvania could tip the power balance on the Supreme Court in those battleground states.,"[{'name': 'subject', 'value': 'Elections, Governors', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Virginia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Elections, State Legislature', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Supreme Courts (State)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Elections, Mayors', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Baraka, Ras', 'rank': 10, 'major': 'N'}, {'name': 'persons', 'value': 'Ciattarelli, Jack M', 'rank': 11, 'major': 'N'}, {'name': 'persons', 'value': 'Fulop, Steven M', 'rank': 12, 'major': 'N'}, {'name': 'persons', 'value': 'Gottheimer, Joshua S (1975- )', 'rank': 13, 'major': 'N'}, {'name': 'persons', 'value': 'Lee, Thomas H', 'rank': 14, 'major': 'N'}, {'name': 'persons', 'value': 'Murphy, Philip D (1957- )', 'rank': 15, 'major': 'N'}, {'name': 'persons', 'value': 'Sears, Winsome', 'rank': 16, 'major': 'N'}, {'name': 'persons', 'value': 'Sherrill, Mikie', 'rank': 17, 'major': 'N'}, {'name': 'glocations', 'value': 'New Jersey', 'rank': 18, 'major': 'N'}, {'name': 'glocations', 'value': 'Pennsylvania', 'rank': 19, 'major': 'N'}, {'name': 'glocations', 'value': 'Wisconsin', 'rank': 20, 'major': 'N'}, {'name': 'glocations', 'value': 'New York City', 'rank': 21, 'major': 'N'}, {'name': 'persons', 'value': 'Adams, Eric L', 'rank': 22, 'major': 'N'}, {'name': 'persons', 'value': 'Bradley, Ann Walsh', 'rank': 23, 'major': 'N'}, {'name': 'persons', 'value': 'Cuomo, Andrew M', 'rank': 24, 'major': 'N'}, {'name': 'persons', 'value': 'Mamdani, Zohran', 'rank': 25, 'major': 'N'}, {'name': 'persons', 'value': 'Myrie, Zellnor', 'rank': 26, 'major': 'N'}, {'name': 'persons', 'value': 'Stringer, Scott M', 'rank': 27, 'major': 'N'}, {'name': 'persons', 'value': 'Lander, Brad', 'rank': 28, 'major': 'N'}]","It might not be a presidential cycle or even the midterm elections, but do not write off the 2025 political calendar. Several races across the nation could offer valuable hints about the movement of voters, messaging and momentum.",2024-12-02T10:00:49Z
2024-12-30 10:00:55+00:00,"{'main': 'In the Quarter-Zip Era, These Coaches Still Wear Suits', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","Fashion among basketball coaches has been decidedly casual since the pandemic began, but a handful of college coaches are still dressed for success.","[{'name': 'subject', 'value': 'Coaches and Managers', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Basketball (College)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Basketball', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Fashion and Apparel', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Suits (Apparel)', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Holland & Sherry Inc', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Cronin, Michael (1971- )', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Green, Willie (1981- )', 'rank': 8, 'major': 'N'}]","In April 2021, Mick Cronin reached the pinnacle of men’s college basketball. He was coaching the University of California, Los Angeles at the Final Four in Indianapolis.",2024-12-30T10:00:55Z
2024-12-03 21:53:26+00:00,"{'main': 'What Holiday Tradition Do You Cherish Most?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",Tell us about it.,"[{'name': 'subject', 'value': 'Holidays and Special Occasions', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'internal-reader-callout', 'rank': 2, 'major': 'N'}]","For many of us, the holidays are full of traditions. There are the classics, like ice skating, and the more modern, like a holiday-movie binge session with family members.",2024-12-03T21:53:26Z
2024-11-01 04:01:03+00:00,"{'main': 'When Eve and Eve Bit the Apple', 'kicker': 'Modern Love', 'content_kicker': None, 'print_headline': 'When Eve and Eve Took a Bite From the Apple', 'name': None, 'seo': None, 'sub': None}","In this essay from 2016, a writer struggles to reconcile her love for a woman with being “a good Christian girl.”","[{'name': 'subject', 'value': 'Love (Emotion)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Homosexuality and Bisexuality', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Christians and Christianity', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dating and Relationships', 'rank': 4, 'major': 'N'}]","In celebration of Modern Love’s 20th anniversary last month, we published a special package of articles about the column’s history and impact. To learn about the origin of Modern Love, read about seven ways to love better, see how the longtime illustrator creates his images, and much more, go to nytimes.com/modernlove. In this space, as each week’s Modern Love column, we are republishing four “classic” essays from earlier years that especially moved us.",2024-11-01T04:01:03Z
2024-12-11 14:57:04+00:00,"{'main': 'Scholz Calls for Confidence Vote, in Step Toward German Elections', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Germany, Chancellor  Calls for Vote  Of Confidence', 'name': None, 'seo': None, 'sub': None}","Chancellor Olaf Scholz, who had few alternatives after his three-party coalition broke up, is widely expected to lose when Parliament takes up the measure on Monday.","[{'name': 'subject', 'value': 'Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Polls and Public Opinion', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2024', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Right-Wing Extremism and Alt-Right', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Legislatures and Parliaments', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Immigration and Emigration', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Alternative for Germany', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Christian Democratic Union (Germany)', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'European Union', 'rank': 12, 'major': 'N'}, {'name': 'organizations', 'value': 'Free Democratic Party (Germany)', 'rank': 13, 'major': 'N'}, {'name': 'organizations', 'value': 'North Atlantic Treaty Organization', 'rank': 14, 'major': 'N'}, {'name': 'organizations', 'value': 'Social Democratic Party (Germany)', 'rank': 15, 'major': 'N'}, {'name': 'persons', 'value': 'Merz, Friedrich', 'rank': 16, 'major': 'N'}, {'name': 'persons', 'value': 'Scholz, Olaf (1958- )', 'rank': 17, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 18, 'major': 'N'}, {'name': 'glocations', 'value': 'Germany', 'rank': 19, 'major': 'N'}, {'name': 'glocations', 'value': 'Europe', 'rank': 20, 'major': 'N'}]","Chancellor Olaf Scholz of Germany called for a confidence vote in Parliament on Wednesday, taking the first formal step toward disbanding the German government and leading to snap elections likely to oust him from office.",2024-12-11T14:57:04Z
2024-12-03 00:00:04+00:00,"{'main': 'For Iranian Women, Can a Revolution Take Place at Home?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","Inspired by the movement for women’s rights in Iran, Elahe Esmaili returns to her hometown to start her own resistance.","[{'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Muslim Veiling', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': """"Women's Rights"""", 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Amini, Mahsa (2000-22)', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Iran', 'rank': 6, 'major': 'N'}]","In the wake of the Women, Life, Freedom movement, one of the most significant political uprisings in Iran since the 1979 Islamic revolution, Iranian society experienced a period of upheaval. The movement began in 2022 when Mahsa Amini, a 22-year-old Kurdish woman accused of disobeying the hijab law, died after being arrested by the morality police. Many Iranians supported the protesters, who called for greater freedom for women and the end of compulsory veiling; the regime responded with brutal crackdowns.",2024-12-03T00:00:04Z
2024-12-25 11:26:19+00:00,"{'main': 'What Keeps Us Going', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",Times Opinion staffers share how they escaped it all this year.,"[{'name': 'subject', 'value': 'internal-storyline-no', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Movies', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 4, 'major': 'N'}]","By the end of the year, many of us feel exhausted by the news. So we asked the staff members of Times Opinion to share how they escaped it all this year. These are the habits we started, the ones we quit, the culture that brought comfort and the internet memes that made us laugh so hard that we momentarily achieved a state of Zen. This is what we’ll carry with us as we turn the page to 2025.",2024-12-25T11:26:19Z
2024-12-18 14:48:33+00:00,"{'main': 'Zelensky Meets With European Leaders to Discuss Ukraine’s Future', 'kicker': None, 'content_kicker': None, 'print_headline': 'E.U. Leaders And Zelensky Discussing Kyiv’s Future', 'name': None, 'seo': None, 'sub': None}","As Donald J. Trump prepares to take office in the United States, President Volodymyr Zelensky attended a meeting hosted by the NATO chief to plot the path forward in the war with Russia.","[{'name': 'subject', 'value': 'International Relations', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Peace Process', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Defense and Military Forces', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Zelensky, Volodymyr', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Europe', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Ukraine', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'North Atlantic Treaty Organization', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'European Union', 'rank': 10, 'major': 'N'}, {'name': 'persons', 'value': 'Rutte, Mark', 'rank': 11, 'major': 'N'}]","Mark Rutte, the head of NATO, met with President Volodymyr Zelensky of Ukraine and other European leaders at Mr. Rutte’s residence in Brussels on Wednesday to discuss the deteriorating situation in the war with Russia and how Europe can offer more support to Kyiv.",2024-12-18T14:48:33Z
2024-12-13 16:00:08+00:00,"{'main': 'Mapo Ragù Is an Ideal Wintertime Feast', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","It’s a meat-sauce mashup of Chinese, Korean and Italian cuisine, sweet-salty and fiery all at once, with tangles of braised kale and chewy rice cakes.","[{'name': 'subject', 'value': 'Cooking and Cookbooks', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Service', 'rank': 2, 'major': 'N'}]","Good morning. We hit Del Fiore in Rocky Point for late-morning sandwiches, Italian subs from the northeastern reaches of Brookhaven on Long Island, then pushed west along the Washington Spy Trail toward Port Jefferson, Setauket, Nissequogue, thinking about cooking all the way.",2024-12-13T16:00:08Z
2024-12-04 19:18:51+00:00,"{'main': 'Pardon Backlash Reflects Fraught Breakup Between Democrats and Biden', 'kicker': 'Congressional Memo', 'content_kicker': None, 'print_headline': 'Pardon Backlash Reflects Biden’s Broken Bonds With Democrats', 'name': None, 'seo': None, 'sub': None}",The criticism of the president’s pardon of his son from within his own party underscores how far gone his relationship with Democrats in Congress already was.,"[{'name': 'subject', 'value': 'United States Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2024', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Amnesties, Commutations and Pardons', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Hunter', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 8, 'major': 'N'}]","Senator Chuck Schumer, the typically chatty New York Democrat and majority leader, often resorts to repeating a single terse phrase when he doesn’t want to answer a question.",2024-12-04T19:18:51Z
